"lsoa11cd","CAUTH18NM","lsoa11nm","st_areasha","st_lengths","IMD_Rank","IMD_Decile","IMDScore","IMDRank0","IMDDec0","IncScore","IncRank","IncDec","EmpScore","EmpRank","EmpDec","EduScore","EduRank","EduDec","HDDScore","HDDRank","HDDDec","CriScore","CriRank","CriDec","BHSScore","BHSRank","BHSDec","EnvScore","EnvRank","EnvDec","IDCScore","IDCRank","IDCDec","IDOScore","IDORank","IDODec","CYPScore","CYPRank","CYPDec","ASScore","ASRank","ASDec","GBScore","GBRank","GBDec","WBScore","WBRank","WBDec","IndScore","IndRank","IndDec","OutScore","OutRank","OutDec","TotPop","DepChi","Pop16_59","Pop60.","WorkPop"
"E01006598","Liverpool City Region","Liverpool 010A",219264.7091475,2727.49504387899,468,1,65.962,468,1,0.391,484,1,0.285,631,1,60.716,1660,1,2.028,322,1,1.209,2187,1,13.422,24912,8,32.911,7250,3,0.439,821,1,0.494,683,1,0.922,4361,2,0.552,748,1,-0.863,28606,9,0.789,11440,4,0.624,7655,3,0.615,7275,3,1496,402,805,289,790
"E01006599","Liverpool City Region","Liverpool 010B",201629.156098,3302.96824755961,1433,1,55.247,1433,1,0.304,2101,1,0.218,2378,1,69.17,838,1,1.5,1478,1,1.235,2066,1,15.333,22577,7,37.233,5294,2,0.355,2458,1,0.322,3867,2,1.346,1617,1,0.544,892,1,-0.417,22794,7,0.644,12138,4,0.786,5834,2,0.658,6875,3,1376,374,794,208,801
"E01006600","Liverpool City Region","Liverpool 011A",244940.890279,3116.43110558599,993,1,59.127,993,1,0.335,1320,1,0.273,807,1,44.267,4336,2,1.737,790,1,1.022,3358,2,9.45,29117,9,49.779,1951,1,0.437,852,1,0.366,2659,1,0.605,7578,3,0.487,2515,1,-0.7,26813,9,-0.418,17439,6,0.965,4135,2,1.342,2248,1,1400,253,814,333,811.25
"E01006603","Liverpool City Region","Liverpool 011B",265831.3461055,3172.16662435743,1068,1,58.445,1068,1,0.318,1715,1,0.229,1921,1,45.072,4160,2,1.86,539,1,1.107,2758,1,13.153,25211,8,63.085,425,1,0.413,1226,1,0.374,2448,1,0.638,7184,3,0.489,2458,1,-0.148,18327,6,-0.596,18379,6,1.051,3471,2,2.148,217,1,1377,239,786,352,787.5
"E01006604","Liverpool City Region","Liverpool 016A",313728.4135745,3459.61207966201,1822,1,52.369,1822,1,0.291,2503,1,0.219,2334,1,49.173,3401,2,1.629,1041,1,0.867,4721,2,12.257,26278,9,52.355,1525,1,0.365,2207,1,0.36,2809,1,0.808,5399,2,0.496,2211,1,-0.165,18638,6,-0.802,19571,6,1.188,2536,1,1.004,4104,2,1427,257,873,297,869.5
"E01006605","Liverpool City Region","Liverpool 016B",278983.9521585,3714.90183676581,2300,1,49.145,2300,1,0.3,2202,1,0.222,2187,1,46.409,3874,2,1.575,1217,1,0.569,8148,3,15.102,22861,7,35.47,6030,2,0.368,2140,1,0.422,1472,1,0.584,7816,3,0.504,1944,1,-0.171,18773,6,0.023,15078,5,0.581,8163,3,0.956,4455,2,1571,269,927,375,929.25
"E01006606","Liverpool City Region","Liverpool 020A",456978.582366,3535.9298785363,1642,1,53.734,1642,1,0.263,3484,2,0.233,1793,1,51.102,3048,1,1.732,799,1,1.174,2391,1,13.143,25225,8,49.165,2042,1,0.298,4461,2,0.28,5497,2,1.233,2187,1,0.439,4544,2,-0.139,18128,6,-0.633,18597,6,1.082,3256,1,1.016,4020,2,1494,239,900,355,914.25
"E01006607","Liverpool City Region","Liverpool 008A",200273.647012,2201.94934551393,1151,1,57.631,1151,1,0.334,1351,1,0.269,879,1,57.553,2034,1,1.491,1512,1,0.754,5893,2,9.643,28948,9,45.584,2771,1,0.355,2469,1,0.374,2438,1,0.823,5242,2,0.545,880,1,-1.281,31401,10,0.114,14609,5,0.885,4858,2,1.185,3019,1,1513,318,854,341,855
"E01006608","Liverpool City Region","Liverpool 009A",293322.5512525,3987.62667248149,2924,1,45.631,2924,1,0.25,4029,2,0.188,3823,2,26.78,9930,4,1.559,1268,1,0.605,7684,3,18.249,18796,6,61.415,556,1,0.305,4185,2,0.326,3733,2,-0.231,19913,7,0.432,4873,2,0.184,12510,4,-0.35,17075,6,1.414,1413,1,1.159,3173,1,1210,204,748,258,752.75
"E01006609","Liverpool City Region","Liverpool 009B",132824.823288,2293.00262759569,1416,1,55.378,1416,1,0.304,2100,1,0.246,1414,1,41.783,4935,2,1.676,926,1,0.682,6703,3,8.649,29822,10,63.834,373,1,0.401,1459,1,0.25,6913,3,0.698,6519,2,0.455,3782,2,-0.768,27617,9,-0.559,18179,6,1.492,1124,1,1.142,3267,1,1320,274,784,262,792
"E01006610","Liverpool City Region","Liverpool 009C",177408.5877775,2316.09709747827,132,1,73.776,132,1,0.393,463,1,0.286,610,1,56.766,2138,1,2.366,110,1,1.59,811,1,10.266,28354,9,72.229,63,1,0.479,443,1,0.423,1465,1,1.387,1427,1,0.453,3854,2,-1.253,31294,10,0.269,13865,5,1.677,652,1,1.371,2122,1,1543,329,901,313,897.5
"E01006611","Liverpool City Region","Liverpool 012A",85303.917626,1576.40907262007,18,1,82.675,18,1,0.51,29,1,0.373,74,1,61.686,1552,1,2.751,30,1,1.59,813,1,11.815,26757,9,82.397,3,1,0.647,21,1,0.472,859,1,1.162,2621,1,0.527,1270,1,-1.365,31732,10,0.695,11893,4,2.122,128,1,1.372,2120,1,1271,230,827,214,835.25
"E01006612","Liverpool City Region","Liverpool 008B",284749.0033905,2576.09449609192,525,1,64.909,525,1,0.37,713,1,0.304,418,1,55.103,2386,1,2.308,134,1,0.927,4154,2,16.624,20892,7,31.516,7979,3,0.432,933,1,0.403,1813,1,0.931,4294,2,0.519,1516,1,-0.214,19489,6,0.527,12667,4,0.196,13362,5,1.238,2746,1,1520,254,912,354,916.5
"E01006613","Liverpool City Region","Liverpool 009D",606198.7715605,4668.63621538547,1632,1,53.795,1632,1,0.28,2875,1,0.238,1657,1,35.676,6557,2,1.778,701,1,1.234,2072,1,11.166,27448,9,53.512,1362,1,0.282,5217,2,0.365,2667,1,-0.101,17764,6,0.493,2306,1,-0.476,23700,8,-0.326,16948,6,1.008,3812,2,1.545,1476,1,1296,210,717,369,748.25
"E01006614","Liverpool City Region","Liverpool 012B",82592.153253,1727.2396437812,354,1,67.776,354,1,0.352,1002,1,0.295,500,1,47.495,3660,2,1.836,583,1,1.399,1358,1,10.875,27767,9,72.282,62,1,0.437,848,1,0.283,5347,2,0.891,4626,2,0.472,3093,1,-1.185,30957,10,0.39,13273,5,1.9,316,1,0.893,4904,2,1312,230,809,273,832.75
"E01006615","Liverpool City Region","Liverpool 012C",147662.606098,1714.34827109138,425,1,66.636,425,1,0.377,631,1,0.283,653,1,48.184,3563,2,2.098,255,1,1.087,2894,1,11.244,27367,9,59.09,764,1,0.485,407,1,0.391,2054,1,0.835,5127,2,0.485,2589,1,-1.206,31049,10,0.494,12801,4,1.385,1520,1,1.031,3928,2,1265,240,768,257,774
"E01006616","Liverpool City Region","Liverpool 015D",266299.357616,2894.49627202561,2556,1,47.595,2556,1,0.25,4036,2,0.209,2754,1,37.955,5920,2,1.352,2083,1,0.925,4180,2,13.926,24328,8,58.479,814,1,0.284,5145,2,0.302,4588,2,0.313,11242,4,0.472,3068,1,-0.178,18886,6,-0.273,16647,6,0.871,4991,2,2.186,181,1,1411,209,831,371,845.25
"E01006617","Liverpool City Region","Liverpool 021A",378339.9122845,3910.885740178,11443,4,23.884,11443,4,0.118,13985,5,0.103,11983,4,10.579,21282,7,0.945,4654,2,0.766,5770,2,8.509,29934,10,35.438,6041,2,0.09,20778,7,0.219,8697,3,-0.539,24475,8,0.288,17289,6,-0.222,19616,6,-2.024,25925,8,0.617,7731,3,0.878,5009,2,1421,216,877,328,886.5
"E01006618","Liverpool City Region","Liverpool 016C",276861.5316255,3263.00930704036,2626,1,47.17,2626,1,0.27,3237,1,0.203,2993,1,31.79,7889,3,1.632,1037,1,0.633,7296,3,16.809,20682,7,51.323,1689,1,0.31,4000,2,0.376,2414,1,-0.003,16165,5,0.455,3775,2,0.215,12044,4,-0.902,20151,7,1.06,3401,2,1.251,2679,1,1561,233,887,441,889
"E01006619","Liverpool City Region","Liverpool 021B",384855.302843,3559.65568676455,9726,3,26.75,9726,3,0.118,13944,5,0.12,9643,3,12.553,19451,6,0.611,7802,3,0.535,8599,3,5.772,31660,10,60.86,608,1,0.116,17559,6,0.162,12979,4,-0.419,22738,7,0.303,15613,5,-0.794,27905,9,-1.469,23226,8,1.448,1285,1,1.013,4043,2,1656,279,942,435,959.75
"E01006620","Liverpool City Region","Liverpool 021C",232320.6757655,2688.39754036119,10423,4,25.6,10423,4,0.156,9926,4,0.126,9003,3,9.991,21834,7,0.801,5894,2,0.616,7500,3,8.831,29653,10,34.359,6526,2,0.093,20303,7,0.241,7394,3,-0.714,26670,9,0.293,16708,6,-0.347,21670,7,-1.385,22816,7,0.64,7449,3,0.723,6287,2,1426,208,747,471,746.25
"E01006621","Liverpool City Region","Liverpool 021D",651940.8986765,3756.64753867185,16696,6,17.349,16696,6,0.077,20103,7,0.078,16890,6,7.316,24696,8,0.259,12190,4,0.482,9317,3,19.488,17288,6,36.235,5713,2,0.081,22065,7,0.096,20707,7,-0.954,28996,9,0.27,19487,6,0.559,7291,3,-2.021,25912,8,0.623,7665,3,0.944,4552,2,1530,240,837,453,867
"E01006622","Liverpool City Region","Liverpool 021E",215402.085046,2465.34692419655,25534,8,9.198,25534,8,0.041,28434,9,0.041,27691,9,8.787,23090,8,-0.293,20548,7,0.045,15976,5,9.873,28717,9,33.916,6734,3,0.032,30337,10,0.076,24139,8,-0.634,25714,8,0.271,19295,6,0.083,14230,5,-4.067,31579,10,0.657,7233,3,0.635,7093,3,1567,261,873,433,878
"E01006623","Liverpool City Region","Liverpool 013A",475826.351389,3225.72910274651,19293,6,14.644,19293,6,0.073,20891,7,0.08,16266,5,12.368,19597,6,0.566,8327,3,-0.165,19134,6,16.628,20887,7,13.281,20800,7,0.109,18408,6,0.08,23246,8,-1.02,29532,9,0.336,12177,4,0.482,8212,3,-3.111,29747,10,-0.763,26986,9,0.516,8241,3,1382,187,790,405,802.75
"E01006624","Liverpool City Region","Liverpool 013B",406715.0134335,4369.88813375341,4213,2,40.199,4213,2,0.219,5600,2,0.204,2947,1,34.603,6904,3,1.467,1607,1,0.285,12176,4,19.319,17495,6,30.055,8772,3,0.218,8897,3,0.245,7177,3,0.471,9197,3,0.425,5246,2,0.315,10550,4,-0.594,18367,6,0.62,7695,3,0.307,10642,4,1569,269,906,394,943
"E01006625","Liverpool City Region","Liverpool 016D",217830.874122,2729.11265790099,11227,4,24.23,11227,4,0.128,12800,4,0.091,14044,5,15.112,17278,6,1.094,3566,2,0.231,13008,4,3.274,32544,10,43.204,3356,2,0.148,14205,5,0.167,12533,4,-0.315,21195,7,0.324,13329,5,-1.148,30771,10,-2.096,26264,8,0.92,4499,2,0.882,4985,2,1380,216,684,480,704.75
"E01006626","Liverpool City Region","Liverpool 016E",255159.742579,3130.30634188127,9492,3,27.166,9492,3,0.129,12679,4,0.129,8581,3,13.197,18881,6,1.048,3885,2,0.654,7038,3,6.814,31080,10,40.339,4156,2,0.127,16341,5,0.178,11653,4,-0.769,27294,9,0.335,12247,4,-0.413,22721,7,-2.045,26016,8,0.912,4589,2,0.628,7158,3,1409,214,772,423,803.5
"E01006627","Liverpool City Region","Liverpool 013C",1108767.8114765,9022.49809413445,6670,3,33,6670,3,0.136,11893,4,0.134,8077,3,22.928,11956,4,1.113,3438,2,1.355,1525,1,11.177,27437,9,42.868,3432,2,0.075,23088,8,0.23,8076,3,0.226,12500,4,0.345,11233,4,0.003,15613,5,-1.964,25684,8,0.932,4408,2,0.825,5442,2,1391,235,826,330,825.25
"E01006628","Liverpool City Region","Liverpool 052D",553413.3506095,4912.10134099661,12745,4,22.042,12745,4,0.113,14498,5,0.085,15188,5,4.718,27649,9,0.668,7204,3,0.201,13489,5,24.888,11241,4,44.065,3139,1,0.173,12072,4,0.194,10439,4,-0.727,26844,9,0.207,26504,9,0.672,6128,2,-0.698,18962,6,1.16,2701,1,0.24,11565,4,1793,236,1221,336,1202
"E01006629","Liverpool City Region","Liverpool 052E",256369.007759,2487.365494925,7284,3,31.521,7284,3,0.186,7617,3,0.161,5639,2,20.155,13684,5,1.212,2795,1,0.309,11806,4,18.779,18132,6,24.314,12217,4,0.166,12631,4,0.272,5865,2,0.378,10382,4,0.288,17320,6,0.264,11298,4,-0.524,18013,6,0.334,11426,4,0.313,10565,4,1257,168,734,355,775.25
"E01006630","Liverpool City Region","Liverpool 044B",329103.27338,3129.29743964706,247,1,70.809,247,1,0.4,398,1,0.324,256,1,86.545,122,1,2.198,188,1,0.844,4952,2,17.061,20368,7,19.837,15420,5,0.417,1163,1,0.477,818,1,1.807,321,1,0.579,366,1,-0.701,26837,9,1.446,8781,3,-0.017,16736,6,0.444,8975,3,1485,347,901,237,891.75
"E01006632","Liverpool City Region","Liverpool 044C",204192.7940665,2396.63335379935,1582,1,54.076,1582,1,0.331,1401,1,0.263,1015,1,50.202,3211,1,1.576,1214,1,0.465,9550,3,16.94,20517,7,32.366,7542,3,0.422,1080,1,0.362,2729,1,0.904,4516,2,0.49,2416,1,-0.854,28529,9,1.571,8335,3,0.771,5988,2,0.161,12698,4,1888,393,1170,325,1171.75
"E01006633","Liverpool City Region","Liverpool 050B",213629.630372,3156.94879138645,298,1,69.246,298,1,0.419,256,1,0.318,306,1,82.74,198,1,1.844,565,1,0.552,8375,3,14.81,23282,8,29.12,9310,3,0.431,942,1,0.487,745,1,1.536,923,1,0.605,185,1,-0.933,29272,9,1.161,9854,4,0.526,8845,3,0.427,9169,3,1517,296,837,384,846.75
"E01006637","Liverpool City Region","Liverpool 017A",235478.206514,3049.13792288888,1277,1,56.543,1277,1,0.353,974,1,0.254,1183,1,50.775,3110,1,1.588,1164,1,1.108,2743,1,14.92,23138,8,26.712,10737,4,0.393,1587,1,0.472,857,1,1.08,3170,1,0.467,3290,2,-0.411,22699,7,0.531,12651,4,0.259,12444,4,0.712,6391,2,1521,386,902,233,900.5
"E01006638","Liverpool City Region","Liverpool 017B",221662.2284925,3290.82498432705,245,1,70.825,245,1,0.431,199,1,0.317,319,1,70.944,715,1,1.918,445,1,1.302,1746,1,11.601,27018,9,29.21,9267,3,0.495,348,1,0.457,1009,1,1.422,1297,1,0.543,913,1,-0.98,29666,10,0.45,12986,4,0.291,11984,4,0.898,4866,2,1303,340,733,230,734.5
"E01006639","Liverpool City Region","Liverpool 017C",407922.4327265,3971.73502653257,6713,3,32.885,6713,3,0.213,5965,2,0.164,5421,2,30.599,8329,3,0.674,7136,3,0.834,5065,2,13.301,25052,8,25.372,11539,4,0.269,5892,2,0.255,6683,3,0.575,7929,3,0.373,8829,3,0.011,15471,5,-1.138,21474,7,0.144,14220,5,0.775,5843,2,1583,358,952,273,948
"E01006640","Liverpool City Region","Liverpool 021F",612064.9758365,3226.93527418816,12861,4,21.878,12861,4,0.119,13858,5,0.124,9165,3,17.871,15224,5,0.748,6393,2,-0.095,18063,6,11.281,27339,9,25.155,11681,4,0.092,20481,7,0.187,10996,4,-0.005,16192,5,0.321,13652,5,0.043,14941,5,-2.173,26580,9,0.288,12026,4,0.492,8497,3,2018,460,1107,451,1126.25
"E01006641","Liverpool City Region","Liverpool 025C",184389.101935,1986.25623698645,12042,4,23.01,12042,4,0.123,13370,5,0.096,13194,5,12.285,19676,6,1.425,1762,1,0.294,12009,4,11.024,27610,9,17.442,17257,6,0.136,15416,5,0.275,5695,2,-0.343,21609,7,0.292,16833,6,-0.002,15700,5,-2.015,25891,8,-0.241,20248,7,0.499,8428,3,1632,421,999,212,993.25
"E01006642","Liverpool City Region","Liverpool 025D",187196.831251,2820.82179539744,485,1,65.633,485,1,0.391,486,1,0.293,527,1,67.098,995,1,1.757,744,1,0.952,3910,2,14.482,23686,8,35.122,6188,2,0.496,343,1,0.444,1161,1,1.138,2772,1,0.562,582,1,-0.807,28053,9,0.985,10605,4,0.712,6656,3,0.635,7088,3,1282,275,761,246,748.5
"E01006643","Liverpool City Region","Liverpool 025E",217750.844261,2162.82239872353,811,1,61.279,811,1,0.366,776,1,0.262,1026,1,46.978,3765,2,2.067,285,1,1.032,3289,2,14.007,24224,8,40.248,4183,2,0.436,867,1,0.451,1069,1,0.775,5713,2,0.484,2603,1,-0.303,20951,7,0.062,14890,5,0.765,6047,2,0.992,4181,2,1774,414,1096,264,1078.25
"E01006644","Liverpool City Region","Liverpool 017D",380216.35942,4068.1012852552,1898,1,51.819,1898,1,0.301,2167,1,0.244,1496,1,43.268,4573,2,1.895,473,1,0.844,4947,2,13.939,24309,8,25.993,11165,4,0.312,3920,2,0.471,867,1,0.782,5651,2,0.455,3800,2,-0.292,20776,7,0.017,15108,5,0.41,10395,4,0.346,10165,4,1952,395,1219,338,1201.5
"E01006645","Liverpool City Region","Liverpool 017E",316490.211699,2981.39942618816,471,1,65.909,471,1,0.415,279,1,0.307,388,1,62.87,1406,1,2.175,204,1,0.636,7248,3,16.089,21547,7,18.816,16181,5,0.528,195,1,0.47,873,1,1.091,3102,1,0.544,895,1,-0.511,24226,8,0.975,10655,4,-0.118,18317,6,0.483,8579,3,1418,277,775,366,772
"E01006646","Liverpool City Region","Liverpool 023C",691766.59751,6575.15282364341,521,1,65.01,521,1,0.365,783,1,0.27,865,1,54.428,2496,1,2.247,162,1,1.423,1274,1,26.619,9625,3,24.475,12107,4,0.45,692,1,0.565,309,1,1.361,1551,1,0.44,4491,2,0.147,13129,4,1.772,7638,3,0,16465,6,0.897,4872,2,1974,268,1383,323,1414.5
"E01006647","Liverpool City Region","Liverpool 024C",337843.8273425,3154.19550367455,121,1,74.341,121,1,0.442,163,1,0.351,138,1,72.263,641,1,2.289,140,1,1.42,1283,1,21.517,14882,5,14.875,19321,6,0.446,748,1,0.526,491,1,0.975,3945,2,0.64,43,1,0.022,15297,5,1.032,10410,4,-1.087,29655,10,0.827,5419,2,1639,398,920,321,914.5
"E01006648","Liverpool City Region","Liverpool 023D",666187.3049855,5393.02598546131,2388,1,48.627,2388,1,0.268,3272,1,0.183,4115,2,59.921,1744,1,1.679,916,1,1.03,3300,2,25.078,11028,4,19.628,15581,5,0.416,1177,1,0.468,891,1,1.583,790,1,0.439,4527,2,0.062,14582,5,1.697,7902,3,-0.336,21664,7,0.829,5404,2,2358,319,1648,391,1668.75
"E01006651","Liverpool City Region","Liverpool 001A",301147.6219265,3612.77260275278,21700,7,12.412,21700,7,0.062,23154,8,0.071,18468,6,10.281,21565,7,0.612,7784,3,-0.847,27758,9,16.492,21052,7,11.322,22654,7,0.061,25510,8,0.129,16312,5,-0.337,21539,7,0.263,20184,7,0.49,8116,3,-3.402,30450,10,-0.906,28247,9,0.376,9802,3,1589,326,1055,208,1050.25
"E01006652","Liverpool City Region","Liverpool 002A",239715.6424565,2555.86336701647,8152,3,29.728,8152,3,0.147,10716,4,0.136,7921,3,24.464,11103,4,0.962,4524,2,0.339,11337,4,6.078,31495,10,48.079,2240,1,0.169,12334,4,0.199,10019,4,-0.101,17767,6,0.4,6821,3,-0.528,24488,8,-1.983,25763,8,1.157,2721,1,0.689,6586,3,1506,312,883,311,890.5
"E01006653","Liverpool City Region","Liverpool 001B",424651.1280645,3750.37090624999,2846,1,46.026,2846,1,0.264,3431,2,0.214,2533,1,44.336,4324,2,1.627,1046,1,0.734,6126,2,11.972,26593,9,29.898,8873,3,0.318,3684,2,0.285,5257,2,0.903,4522,2,0.444,4304,2,-0.312,21097,7,-0.476,17731,6,0.509,9055,3,0.552,7863,3,1597,343,927,327,946.5
"E01006654","Liverpool City Region","Liverpool 005A",633632.6323305,5545.06937788103,7111,3,31.919,7111,3,0.164,9282,3,0.143,7203,3,23.091,11848,4,1.225,2743,1,0.402,10421,4,14.204,23986,8,41.935,3679,2,0.181,11416,4,0.239,7546,3,-0.194,19306,6,0.396,7103,3,-0.032,16215,5,-0.689,18914,6,0.949,4253,2,0.683,6648,3,1449,258,837,354,858
"E01006655","Liverpool City Region","Liverpool 001C",387127.0583505,4217.76247837647,4416,2,39.513,4416,2,0.227,5129,2,0.197,3308,2,26.942,9850,3,1.554,1281,1,-0.34,21584,7,8.859,29632,10,45.287,2824,1,0.271,5815,2,0.289,5124,2,0.133,13962,5,0.398,6961,3,-0.207,19373,6,-1.914,25450,8,1.268,2047,1,-0.038,15913,5,1744,356,1058,330,1052
"E01006656","Liverpool City Region","Liverpool 002B",253710.2409975,2683.58009869145,5473,2,36.161,5473,2,0.186,7573,3,0.147,6838,3,18.901,14467,5,1.151,3154,1,0.496,9127,3,5.835,31631,10,68.697,127,1,0.24,7522,3,0.206,9560,3,0.032,15525,5,0.328,12984,4,-0.794,27909,9,-1.442,23094,8,1.804,445,1,0.785,5757,2,1419,244,879,296,894.25
"E01006657","Liverpool City Region","Liverpool 002C",132602.818452,2515.84063674647,3495,2,42.922,3495,2,0.236,4728,2,0.194,3464,2,31.27,8081,3,1.175,3022,1,0.238,12904,4,7.916,30390,10,69.169,119,1,0.258,6440,2,0.255,6666,3,0.542,8323,3,0.384,7911,3,-1.075,30324,10,-0.46,17659,6,1.703,593,1,1.046,3825,2,1244,222,765,257,763
"E01006658","Liverpool City Region","Liverpool 001D",169507.9815635,2044.08241272683,804,1,61.302,804,1,0.381,577,1,0.287,607,1,56.079,2236,1,1.879,501,1,0.731,6160,2,16.763,20728,7,22.529,13462,5,0.454,649,1,0.409,1714,1,0.964,4029,2,0.52,1464,1,-0.173,18806,6,0.454,12970,4,0.147,14172,5,0.469,8719,3,1304,261,758,285,760
"E01006659","Liverpool City Region","Liverpool 005B",1604366.5460865,6750.65596260152,815,1,61.249,815,1,0.355,943,1,0.247,1383,1,47.069,3752,2,2.953,14,1,1.242,2015,1,22.765,13454,5,27.11,10470,4,0.473,492,1,0.524,498,1,0.475,9143,3,0.519,1501,1,0.255,11441,4,0.569,12454,4,0.41,10396,4,0.468,8727,3,1184,239,747,198,764
"E01006660","Liverpool City Region","Liverpool 001E",980878.744765,5630.50873228155,1383,1,55.734,1383,1,0.315,1800,1,0.254,1196,1,34.329,7002,3,1.821,614,1,1.268,1892,1,11.686,26910,9,42.835,3442,2,0.356,2430,1,0.393,2031,1,0.393,10174,4,0.433,4847,2,-0.27,20408,7,-0.672,18804,6,0.823,5455,2,1.089,3556,2,1395,272,793,330,809
"E01006661","Liverpool City Region","Liverpool 004A",328988.5754795,2939.55887661731,746,1,62.019,746,1,0.371,693,1,0.277,751,1,70.217,765,1,1.99,362,1,0.047,15933,5,12.628,25853,8,33.61,6893,3,0.384,1780,1,0.471,866,1,1.455,1165,1,0.534,1119,1,-0.716,27027,9,0.442,13019,4,0.654,7267,3,0.61,7330,3,1648,312,926,410,922.75
"E01006662","Liverpool City Region","Liverpool 004B",881044.7114225,7394.92900685754,566,1,64.388,566,1,0.39,496,1,0.29,563,1,41.902,4899,2,2.546,57,1,1.383,1413,1,15.517,22337,7,22.478,13495,5,0.367,2150,1,0.548,372,1,0.597,7650,3,0.47,3155,1,-0.08,17060,6,-0.152,15993,5,-0.052,17282,6,0.776,5830,2,1810,389,876,545,890.75
"E01006663","Liverpool City Region","Liverpool 004C",1140526.1219085,6469.82802295343,2353,1,48.813,2353,1,0.272,3152,1,0.206,2858,1,46.617,3836,2,1.973,382,1,0.462,9600,3,20.767,15749,5,33.889,6744,3,0.275,5557,2,0.51,582,1,1.131,2829,1,0.422,5469,2,0.453,8609,3,-0.826,19701,6,0.538,8695,3,0.893,4894,2,1169,259,726,184,721.75
"E01006664","Liverpool City Region","Liverpool 004D",318415.876321,3917.57184340396,495,1,65.529,495,1,0.364,800,1,0.302,431,1,56.451,2188,1,2.266,151,1,0.866,4743,2,17.333,20006,7,39.143,4570,2,0.449,698,1,0.307,4395,2,1.121,2895,1,0.502,2029,1,-0.031,16181,5,0.167,14336,5,0.894,4768,2,0.555,7839,3,1886,424,1058,404,1071.75
"E01006665","Liverpool City Region","Liverpool 007A",706087.797361,6257.58885862674,14894,5,19.422,14894,5,0.09,17986,6,0.107,11422,4,13.49,18597,6,0.697,6911,3,-0.342,21622,7,28.723,7876,3,10.907,23103,8,0.119,17188,6,0.14,15062,5,-0.747,27037,9,0.337,12044,4,1.09,2981,1,-2.099,26281,9,-0.721,26523,9,0.223,11797,4,1482,271,971,240,973.25
"E01006666","Liverpool City Region","Liverpool 007B",234837.987744,3470.04617629091,20752,7,13.283,20752,7,0.071,21374,7,0.069,18937,6,8.829,23045,8,0.508,9001,3,-0.879,28047,9,26.09,10093,4,8.252,25897,8,0.074,23228,8,0.144,14740,5,-0.96,29051,9,0.291,16999,6,1.021,3343,2,-3.179,29931,10,-1.281,30695,10,0.172,12532,4,1458,278,967,213,944
"E01006667","Liverpool City Region","Liverpool 007C",537754.311334,5618.70698745746,5647,2,35.672,5647,2,0.214,5877,2,0.177,4506,2,32.001,7822,3,1.15,3163,1,0.691,6602,3,19.126,17713,6,17.15,17472,6,0.243,7316,3,0.255,6642,3,0.505,8795,3,0.397,6997,3,0.423,8980,3,-1.209,21874,7,-0.088,17841,6,0.254,11356,4,1522,290,854,378,885.5
"E01006668","Liverpool City Region","Liverpool 007D",229669.9009325,2813.56336754393,23517,8,10.827,23517,8,0.065,22610,7,0.069,19058,6,9.27,22603,7,0.556,8438,3,-1.427,31531,10,7.865,30434,10,10.057,24009,8,0.085,21500,7,0.139,15168,5,-0.762,27220,9,0.287,17454,6,-0.164,18634,6,-2.808,28879,9,-1.018,29183,9,0.29,10887,4,1512,334,1008,170,986.5
"E01006669","Liverpool City Region","Liverpool 004E",224625.4962735,2517.28168072311,13388,5,21.22,13388,5,0.137,11798,4,0.101,12381,4,16.499,16203,5,0.644,7450,3,0.334,11442,4,20.58,15962,5,11.053,22950,7,0.201,10013,4,0.218,8778,3,-0.296,20894,7,0.338,11938,4,0.645,6375,2,-2.218,26749,9,-0.652,25784,8,0.192,12252,4,1485,307,995,183,977.5
"E01006670","Liverpool City Region","Liverpool 007E",650425.6567025,5190.52295185242,16109,5,18.022,16109,5,0.108,15270,5,0.113,10699,4,14.907,17417,6,0.691,6976,3,-0.244,20246,7,4.537,32202,10,11.596,22387,7,0.083,21822,7,0.172,12157,4,-0.179,19055,6,0.308,15115,5,-0.784,27800,9,-2.042,26006,8,-0.432,22998,8,0.058,14362,5,1538,283,962,293,971
"E01006671","Liverpool City Region","Liverpool 013D",905799.2469795,4528.30584808968,6888,3,32.485,6888,3,0.226,5184,2,0.156,6037,2,26.267,10172,4,1.288,2409,1,0.042,16020,5,19.414,17376,6,11.094,22902,7,0.262,6243,2,0.352,2970,1,-0.117,18029,6,0.418,5681,2,0.418,9052,3,-1.078,21157,7,-0.56,24672,8,0.119,13327,5,1279,223,804,252,809
"E01006672","Liverpool City Region","Liverpool 010E",361300.866972,4201.11399186428,1104,1,58.113,1104,1,0.36,876,1,0.25,1301,1,53.17,2700,1,1.871,523,1,0.735,6111,2,17.17,20222,7,33.223,7090,3,0.411,1261,1,0.498,661,1,0.909,4471,2,0.509,1789,1,-0.067,16850,6,0.248,13967,5,0.539,8679,3,0.83,5398,2,1890,481,1102,307,1095
"E01006673","Liverpool City Region","Liverpool 037D",294300.172725,3567.01733598259,1512,1,54.618,1512,1,0.379,607,1,0.225,2073,1,39.938,5382,2,1.586,1176,1,1.108,2745,1,20.516,16042,5,22.945,13164,5,0.432,932,1,0.74,32,1,0.813,5347,2,0.421,5518,2,-0.292,20777,7,1.569,8340,3,-0.026,16876,6,0.788,5739,2,2171,511,1407,253,1392.25
