"lsoa11cd","CAUTH18NM","lsoa11nm","st_areasha","st_lengths","IMD_Rank","IMD_Decile","IMDScore","IMDRank0","IMDDec0","IncScore","IncRank","IncDec","EmpScore","EmpRank","EmpDec","EduScore","EduRank","EduDec","HDDScore","HDDRank","HDDDec","CriScore","CriRank","CriDec","BHSScore","BHSRank","BHSDec","EnvScore","EnvRank","EnvDec","IDCScore","IDCRank","IDCDec","IDOScore","IDORank","IDODec","CYPScore","CYPRank","CYPDec","ASScore","ASRank","ASDec","GBScore","GBRank","GBDec","WBScore","WBRank","WBDec","IndScore","IndRank","IndDec","OutScore","OutRank","OutDec","TotPop","DepChi","Pop16_59","Pop60.","WorkPop"
"E01006426","Liverpool City Region","Knowsley 020A",333039.983127,3121.92292430657,639,1,63.325,639,1,0.367,760,1,0.306,403,1,69.52,816,1,1.962,392,1,0.552,8369,3,15.171,22774,7,20.808,14685,5,0.389,1660,1,0.457,1006,1,1.383,1445,1,0.54,970,1,-0.927,29232,9,1.243,9550,3,0.158,14014,5,0.26,11273,4,1388,287,830,271,821.25
"E01006427","Liverpool City Region","Knowsley 019D",343143.9882445,3281.09016266684,14187,5,20.176,14187,5,0.123,13286,5,0.107,11495,4,24.445,11113,4,0.695,6933,3,-0.3,21039,7,7.556,30639,10,16.088,18345,6,0.146,14368,5,0.164,12787,4,0.198,12937,4,0.365,9457,3,-0.547,24754,8,-1.293,22362,7,-0.103,18081,6,0.157,12758,4,1455,220,775,460,775.5
"E01006428","Liverpool City Region","Knowsley 020B",960167.8516065,6355.65227406572,4117,2,40.476,4117,2,0.277,2958,1,0.211,2665,1,43.458,4536,2,1.092,3579,2,-0.37,22026,7,14.668,23444,8,26.682,10759,4,0.287,4977,2,0.35,3041,1,0.961,4053,2,0.426,5214,2,-0.163,18611,6,-0.121,15812,5,0.451,9864,4,0.337,10280,4,1627,394,962,271,957.75
"E01006429","Liverpool City Region","Knowsley 020C",1146276.9620235,5706.31082738624,865,1,60.604,865,1,0.373,672,1,0.285,629,1,61.693,1551,1,1.702,863,1,-0.195,19547,6,20.712,15823,5,36.451,5604,2,0.501,314,1,0.368,2614,1,1.264,2014,1,0.512,1691,1,-0.187,19031,6,1.397,8965,3,0.289,12014,4,1.502,1620,1,1131,222,649,260,651.75
"E01006430","Liverpool City Region","Knowsley 018C",268212.3010315,3251.38438190404,1132,1,57.826,1132,1,0.364,807,1,0.255,1169,1,69.952,783,1,1.975,377,1,-0.166,19144,6,15.915,21790,7,16.27,18183,6,0.476,468,1,0.428,1398,1,1.664,583,1,0.501,2066,1,-0.577,25181,8,1.034,10404,4,-0.264,20567,7,0.395,9580,3,1309,213,682,414,684.25
"E01006431","Liverpool City Region","Knowsley 020D",513442.988925,4141.36740132421,8172,3,29.686,8172,3,0.18,8024,3,0.144,7121,3,26.467,10077,4,0.828,5651,2,0.571,8120,3,16.528,21001,7,25.643,11386,4,0.218,8871,3,0.238,7606,3,0.389,10245,4,0.359,9954,4,0.005,15584,5,-0.153,15997,5,0.364,11012,4,0.399,9496,3,1704,292,1006,406,1036.5
"E01006432","Liverpool City Region","Knowsley 020E",298327.815115,3058.68749238792,1352,1,56.022,1352,1,0.339,1233,1,0.279,702,1,50.909,3091,1,1.707,854,1,0.256,12634,4,23.979,12163,4,22.426,13544,5,0.367,2152,1,0.358,2848,1,1.067,3249,1,0.47,3168,1,0.391,9403,3,0.328,13566,5,0.233,12829,4,0.295,10816,4,1507,329,874,304,874.25
"E01006433","Liverpool City Region","Knowsley 018D",340063.963899,2711.25725923754,6626,3,33.107,6626,3,0.191,7263,3,0.182,4181,2,29.033,8954,3,1.174,3033,1,-0.014,16896,6,16.087,21549,7,24.234,12272,4,0.192,10616,4,0.258,6504,2,0.173,13328,5,0.412,6016,2,-0.077,17011,6,-0.007,15243,5,0.405,10455,4,0.158,12751,4,1447,249,828,370,836.5
"E01006434","Liverpool City Region","Knowsley 005C",305534.8794075,3646.91121025077,694,1,62.584,694,1,0.361,850,1,0.279,706,1,66.979,1002,1,2.039,310,1,0.336,11387,4,14.961,23079,8,36.738,5483,2,0.473,487,1,0.44,1215,1,1.015,3638,2,0.578,375,1,-0.634,25992,8,0.89,10980,4,0.808,5603,2,0.541,7970,3,1518,322,955,241,950.5
"E01006435","Liverpool City Region","Knowsley 005D",243357.8574145,2334.89711153202,684,1,62.741,684,1,0.37,708,1,0.277,752,1,69.029,849,1,1.861,537,1,0.69,6616,3,12.062,26497,9,32.733,7332,3,0.483,421,1,0.335,3460,2,1.188,2451,1,0.566,521,1,-0.927,29233,9,0.531,12647,4,0.695,6844,3,0.415,9312,3,1478,270,829,379,834.5
"E01006436","Liverpool City Region","Knowsley 003C",239596.556466,4197.84431648261,162,1,72.718,162,1,0.384,551,1,0.34,181,1,81.986,222,1,2.232,175,1,1.016,3392,2,19.443,17328,6,33.033,7185,3,0.417,1157,1,0.438,1259,1,1.558,867,1,0.594,255,1,-0.26,20239,7,1.268,9448,3,0.721,6549,2,0.381,9747,3,1508,313,932,263,932.25
"E01006437","Liverpool City Region","Knowsley 003D",543907.636988,5250.33602570079,889,1,60.307,889,1,0.326,1512,1,0.304,412,1,61.738,1545,1,1.877,504,1,0.455,9691,3,17.194,20188,7,32.902,7253,3,0.393,1590,1,0.306,4450,2,0.896,4579,2,0.561,601,1,-0.311,21086,7,0.86,11109,4,0.682,6966,3,0.463,8788,3,1216,241,700,275,705.75
"E01006438","Liverpool City Region","Knowsley 005E",2077606.919723,9916.07405347075,15982,5,18.178,15982,5,0.099,16519,6,0.114,10490,4,15.457,17016,6,0.857,5396,2,-1.293,30948,10,10.839,27801,9,13.958,20151,7,0.051,27254,9,0.147,14400,5,-0.353,21767,7,0.332,12579,4,-0.143,18212,6,-1.365,22714,7,-0.166,19095,6,0.005,15220,5,1215,188,601,426,616.75
"E01006439","Liverpool City Region","Knowsley 005F",13165652.6743785,27042.6596266877,4755,2,38.43,4755,2,0.22,5508,2,0.187,3850,2,32.898,7470,3,1.382,1956,1,-0.21,19777,7,11.513,27114,9,44.068,3135,1,0.19,10748,4,0.306,4445,2,0.308,11319,4,0.431,4964,2,-1.06,30221,10,0.483,12844,4,0.969,4101,2,0.843,5295,2,1601,299,867,435,886
"E01006440","Liverpool City Region","Knowsley 010A",2290250.0152205,10096.983018567,396,1,67.136,396,1,0.422,236,1,0.299,462,1,60.529,1681,1,2.085,264,1,0.121,14809,5,25.358,10784,4,35.975,5816,2,0.505,293,1,0.515,557,1,1.057,3319,2,0.534,1100,1,0.189,12435,4,1.369,9059,3,0.823,5452,2,0.414,9331,3,1412,313,859,240,845.25
"E01006441","Liverpool City Region","Knowsley 006D",887834.588746,7186.47257954406,4683,2,38.644,4683,2,0.227,5152,2,0.175,4618,2,29.484,8790,3,1.739,782,1,0.273,12341,4,22.966,13250,5,18.179,16675,6,0.218,8877,3,0.442,1188,1,0.19,13046,4,0.414,5898,2,0.402,9242,3,0.017,15110,5,-0.167,19110,6,0.483,8581,3,2567,549,1584,434,1586.5
"E01006442","Liverpool City Region","Knowsley 010B",267712.533529,3121.36847402395,267,1,70.378,267,1,0.394,454,1,0.361,99,1,79.299,311,1,1.812,635,1,0.565,8187,3,25.264,10865,4,27.714,10128,4,0.392,1611,1,0.379,2329,1,1.369,1515,1,0.612,147,1,0.135,13337,5,1.522,8510,3,0.456,9788,3,0.436,9071,3,1514,272,908,334,920
